ref;day;month;year;lat;long
145722;11;6;2017;48.73454;1.744505
145844;11;6;2017;48.860547;2.101266
145877;11;6;2017;43.450825;0.7362046
145944;11;6;2017;47.365524;2.6558769
146099;11;6;2017;45.127377;5.588657
146217;11;6;2017;48.858662;2.437179
146597;11;6;2017;45.276863;5.5388827
147368;11;6;2017;49.303659;0.868392
148365;11;6;2017;48.851785;2.168733
153930;11;6;2017;49.267613;6.647149
1661;11;6;2017;49.2716496;6.6464907
145170;12;6;2017;45.22918;1.5987867
145239;12;6;2017;47.583926;3.194078
145306;12;6;2017;44.649693;3.893119
145474;12;6;2017;48.889699;2.049516
145635;12;6;2017;43.704468;2.435453
145743;12;6;2017;47.779716;-2.534776
145769;12;6;2017;45.532745;5.3763666
145886;12;6;2017;48.860458;2.185885
146126;12;6;2017;48.72626;6.159705
146347;12;6;2017;50.25359;1.6016804
146428;12;6;2017;47.76429;-3.2886183
146445;12;6;2017;47.763165;-3.0821486
148374;12;6;2017;49.049812;1.524311
159748;12;6;2017;47.19027;0.27400374
159826;12;6;2017;45.23396;1.5938829
145011;13;6;2017;48.822;7.706262
145129;13;6;2017;47.30799;-2.1552093
145596;13;6;2017;43.78175;0.927373
146396;13;6;2017;42.93364;0.29337263
146741;13;6;2017;48.751965;6.341354
147382;13;6;2017;49.042507;6.4761963
150195;13;6;2017;47.885986;-1.6742634
145095;14;6;2017;48.456097;-3.0802364
145312;14;6;2017;47.783565;7.218717
145325;14;6;2017;49.001156;1.1525123
145427;14;6;2017;48.861526;2.3791854
146225;14;6;2017;48.98351;2.0368156
146492;14;6;2017;47.76886;1.6377457
147299;14;6;2017;43.353614;2.193322
151588;14;6;2017;47.838614;2.75775
144955;15;6;2017;48.24962;6.8999157
144997;15;6;2017;47.805885;6.447714
145119;15;6;2017;48.577446;2.5323503
145158;15;6;2017;47.304923;6.021498
145403;15;6;2017;48.479133;-2.085075
145423;15;6;2017;49.0748;6.0748353
145460;15;6;2017;48.109049;7.194307
145486;15;6;2017;48.77835;0.44385967
145549;15;6;2017;43.877583;-0.48372346
145590;15;6;2017;44.778595;-0.53767174
145658;15;6;2017;43.5044;0.39284334
145699;15;6;2017;47.25807;-0.091339
145707;15;6;2017;48.801393;1.451231
145723;15;6;2017;48.815028;2.191508
145895;15;6;2017;47.47648;0.40409625
146021;15;6;2017;47.842934;3.1965368
146103;15;6;2017;48.408207;2.6989417
146633;15;6;2017;44.98543;2.0540586
146957;15;6;2017;44.911808;1.0890523
146958;15;6;2017;44.911716;1.0891763
147227;15;6;2017;47.021633;5.7177014
147924;15;6;2017;48.77416;1.690664
148222;15;6;2017;47.665497;-3.008592
148405;15;6;2017;45.52945035;3.1738299
149088;15;6;2017;46.531586;3.4293554
160501;15;6;2017;47.3788600696949;3.88681054115308
163635;15;6;2017;47.59066;1.1995372
145017;16;6;2017;47.860584;7.1429467
145157;16;6;2017;48.248986;7.193443
145703;16;6;2017;48.802287;1.453923
146437;16;6;2017;48.027449;0.932391
146703;16;6;2017;48.658226;-1.1155324
146753;16;6;2017;44.781815;-0.40570757
147177;16;6;2017;44.738724;-0.5604124
147305;16;6;2017;49.196167;-0.8724599
147313;16;6;2017;44.997482;0.062488925
148295;16;6;2017;44.0342;7.250646
163478;16;6;2017;48.76381;0.06649196
145077;17;6;2017;49.487061;1.101201
145154;17;6;2017;50.498062;1.6230067
145245;17;6;2017;44.946396;-0.24935593
145774;17;6;2017;49.197456;2.5838435
145929;17;6;2017;48.068384;-3.92033
146029;17;6;2017;45.156866;5.758871
147048;17;6;2017;48.876053;2.331628
147247;17;6;2017;47.263027;2.2223024
148259;17;6;2017;42.999672;0.1921434
151491;17;6;2017;48.357193;2.7056558
14417;17;6;2017;48.4492097;7.6735124
144983;18;6;2017;46.850677;-1.1074388
145092;18;6;2017;48.806362;2.0275776
145164;18;6;2017;48.232647;3.620695
145186;18;6;2017;49.468834;-1.6358885
145275;18;6;2017;48.077744;-0.63697267
145431;18;6;2017;49.285815;6.408966
145621;18;6;2017;48.968019;-0.4584
145627;18;6;2017;48.05539;7.3950515
145724;18;6;2017;44.04463;2.8902586
145755;18;6;2017;48.379906;2.504632
145887;18;6;2017;44.967085;5.310044
145981;18;6;2017;48.869755;2.31945
145987;18;6;2017;49.41736;5.707757
146186;18;6;2017;47.964967;1.968326
146187;18;6;2017;47.965345;1.967536
146378;18;6;2017;47.99596;-1.66666
146934;18;6;2017;48.650469;0.997123
147041;18;6;2017;48.930558;2.897409
148312;18;6;2017;48.84547;2.125563
148545;18;6;2017;46.417248;-0.20304377
149306;18;6;2017;48.648106;1.8148413
151853;18;6;2017;44.89473244;0.12646294
151887;18;6;2017;47.458458;0.89021313
154291;18;6;2017;47.614696;7.442731
145400;19;6;2017;48.479073;-2.085133
145644;19;6;2017;46.796505;-1.149651
145727;19;6;2017;48.38906;2.7021863
145813;19;6;2017;48.01415;0.72664225
146050;19;6;2017;50.392984;2.745775
146244;19;6;2017;48.839377;2.233939
